Akin, Gump, Strauss, Hauer & Fel	LLP	Washington, DC	l	l	l	l	l	l	l	l	nan	100	nan	31.0
Alaska Air Group Inc.	nan	Seattle, WA	l	l	l	l	nan	l	l	l	nan	90	575.0	nan
Alcatel-Lucent	nan	Murray Hill, NJ	l	l	l	l	l	l	l	l	nan	100	nan	nan
Alcoa Inc.	nan	New York, NY	l	l	l	l	l	l	l	l	nan	100	127.0	nan
Allegheny Energy Inc.	nan	Greensburg, PA	l	nan	nan	nan	nan	nan	nan	nan	nan	15	571.0	nan
Allergan Inc.	nan	Irvine, CA	l	nan	nan	nan	nan	nan	nan	nan	nan	15	459.0	nan
Alliant Energy Corp.	nan	Madison, WI	l	nan	l	w	nan	nan	l	w	nan	50	570.0	nan
Alliant Techsystems Inc.	nan	Minneapolis, MN	l	nan	l	w	nan	nan	nan	nan	nan	35	454.0	nan
Allianz Life Insurance Co. of North	America	Minneapolis, MN	l	l	l	w	nan	nan	l	nan	nan	60	nan	nan
Allscripts-Misys Health care Soluti	ns Inc.	Chicago, IL	l	nan	nan	w	nan	nan	w	w	nan	30	nan	nan
Allstate Corp., The	nan	Northbrook, IL	l	l	l	w	nan	l	l	l	nan	85	68.0	nan
Ally Financial Inc.	nan	Detroit, MI	l	nan	nan	nan	nan	nan	nan	nan	nan	15	122.0	nan
Alston & Bird LLP	nan	Atlanta, GA	l	l	l	l	l	l	l	l	nan	100	nan	49.0
Altria Group Inc.	nan	Richmond, VA	l	nan	nan	nan	nan	nan	nan	nan	nan	15	137.0	nan
Amazon.com Inc.	nan	Seattle, WA	l	l	l	l	nan	l	l	l	nan	90	100.0	nan
AMC Entertainment Inc.	nan	Kansas City, MO	l	l	l	l	nan	l	l	l	nan	90	740.0	nan
Ameren Corp.	nan	St. Louis, MO	l	nan	l	w	nan	nan	l	l	nan	60	320.0	nan
American Eagle Outfitters Inc.	nan	Pittsburgh, PA	l	l	l	w	nan	l	w	l	nan	80	649.0	nan
American Electric Power Co. Inc.	nan	Columbus, OH	l	nan	nan	nan	nan	nan	nan	nan	nan	15	172.0	nan
American Express Co.	nan	New York, NY	l	l	l	l	l	l	l	l	nan	100	88.0	nan
American Family Insurance Group	nan	Madison, WI	l	l	nan	w	nan	nan	w	l	nan	55	344.0	nan
American Financial Group	nan	Cincinnati, OH	nan	nan	nan	nan	nan	nan	nan	nan	nan	0	478.0	nan
Amerigroup Corp.	nan	Virginia Beach, VA	nan	nan	nan	nan	nan	nan	nan	nan	nan	0	404.0	nan
Ameriprise Financial Inc.	nan	Minneapolis, MN	l	l	l	l	l	l	l	l	nan	100	288.0	nan
AmerisourceBergen Corp.	nan	Chesterbrook, PA	l	nan	nan	nan	nan	nan	nan	nan	nan	15	24.0	nan
Amgen Inc.	nan	Thousand Oaks, CA	l	nan	l	w	nan	nan	l	nan	nan	45	159.0	nan
AMR Corp. (American Airlines)	nan	Fort Worth, TX	l	l	l	l	l	l	l	l	nan	100	120.0	nan
Anadarko Petroleum	nan	The Woodlands, TX	l	nan	nan	nan	nan	nan	nan	nan	nan	15	260.0	nan
Andrews Kurth LLP	nan	Houston, TX	l	l	l	l	nan	l	l	l	nan	90	nan	115.0
Anheuser-Busch Companies Inc.	nan	St. Louis, MO	l	l	l	l	nan	l	l	l	nan	90	nan	nan
Anixter International Inc.	nan	Glenview, IL	l	l	nan	nan	nan	nan	nan	nan	nan	30	422.0	nan
Aon Corp.	nan	Chicago, IL	l	l	l	l	l	l	l	l	nan	100	298.0	nan
Apache Corp.	nan	Houston, TX	l	l	nan	nan	nan	nan	nan	nan	nan	30	271.0	nan
Apple Inc.	nan	Cupertino, CA	l	l	l	l	l	l	l	l	nan	100	56.0	nan
Applied Materials Inc.	nan	Santa Clara, CA	l	l	l	w	nan	l	l	l	nan	85	421.0	nan
Aramark Corp.	nan	Philadelphia, PA	l	l	l	l	nan	l	l	l	nan	90	189.0	nan
Archer Daniels Midland Co.	nan	Decatur, IL	l	nan	l	w	nan	nan	nan	nan	nan	35	27.0	nan
Arent Fox LLP	nan	Washington, DC	l	l	l	w	nan	l	l	l	nan	85	nan	124.0
Arnold & Porter LLP	nan	Washington, DC	l	l	l	l	nan	l	l	l	nan	90	nan	54.0
Arrow Electronics	nan	Melville, NY	l	nan	nan	nan	nan	nan	nan	nan	nan	15	157.0	nan
ArvinMeritor Inc.	nan	Troy, MI	l	nan	nan	nan	nan	nan	nan	nan	nan	15	450.0	nan
Ashland Inc.	nan	Covington, KY	l	nan	nan	nan	nan	nan	nan	nan	nan	15	280.0	nan
Assurant	nan	New York, NY	l	l	l	w	nan	l	w	l	nan	80	268.0	nan
